,id,host_id,host_response_rate,host_total_listings_count,host_is_superhost,neighbourhood,property_type,room_type,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,score
0,241032,956883,96.0,3.0,f,West Queen Anne,Apartment,Entire home/apt,4,2,1.0,1.0,1.0,85.0,207,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0.9782127140000001
1,953595,5177328,98.0,6.0,t,West Queen Anne,Apartment,Entire home/apt,4,1,1.0,1.0,1.0,150.0,43,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.990736187
2,3308979,16708587,67.0,2.0,f,West Queen Anne,House,Entire home/apt,11,10,4.5,5.0,7.0,975.0,20,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.95890367
3,7421966,9851441,94.88679817905918,1.0,f,West Queen Anne,Apartment,Entire home/apt,3,1,1.0,0.0,2.0,100.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.8401330709999999
4,278830,1452570,100.0,2.0,f,West Queen Anne,House,Entire home/apt,6,6,2.0,3.0,3.0,450.0,38,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0.989110231
5,5956968,326758,94.88679817905918,1.0,f,West Queen Anne,House,Private room,2,1,1.0,1.0,1.0,120.0,17,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9754293559999999
6,1909058,2497928,100.0,1.0,t,West Queen Anne,House,Private room,2,1,1.0,1.0,1.0,80.0,58,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9199845190000001
8,4948745,2166277,94.88679817905918,1.0,f,West Queen Anne,Apartment,Private room,2,1,1.0,1.0,1.0,90.0,8,97.0,10.0,9.0,10.0,9.0,10.0,10.0,0.819615543
9,2493658,5177328,98.0,6.0,t,West Queen Anne,Apartment,Entire home/apt,4,1,1.0,1.0,1.0,150.0,32,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0.99693507
10,175576,239585,100.0,1.0,t,West Queen Anne,House,Entire home/apt,2,2,1.0,1.0,1.0,95.0,181,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5
11,4454295,4606439,100.0,1.0,f,West Queen Anne,House,Entire home/apt,2,1,1.0,1.0,1.0,99.0,8,97.0,10.0,10.0,9.0,10.0,10.0,9.0,0.992662072
12,3883392,19932967,100.0,1.0,t,West Queen Anne,Apartment,Entire home/apt,4,1,1.0,2.0,3.0,245.0,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9631086590000001
13,8889257,25899989,100.0,1.0,f,West Queen Anne,House,Entire home/apt,5,4,1.0,2.0,3.0,165.0,3,100.0,10.0,10.0,9.0,9.0,10.0,10.0,0.827546418
14,5680462,22372266,100.0,1.0,f,West Queen Anne,House,Entire home/apt,16,8,3.5,6.0,15.0,461.0,18,98.0,9.0,10.0,10.0,10.0,10.0,10.0,0.981267214
15,8988178,2983711,100.0,1.0,f,West Queen Anne,House,Entire home/apt,5,1,1.0,2.0,2.0,109.0,1,80.0,8.0,10.0,8.0,8.0,8.0,8.0,0.954851985
16,3245876,9465817,100.0,1.0,f,West Queen Anne,Apartment,Private room,2,1,1.0,1.0,1.0,66.0,84,95.0,10.0,9.0,10.0,10.0,10.0,9.0,0.9081256390000001
17,4933447,25417834,100.0,1.0,t,West Queen Anne,House,Private room,2,1,1.0,1.0,1.0,99.0,45,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9625132679999999
18,7735464,6170760,94.88679817905918,1.0,f,West Queen Anne,Apartment,Private room,2,1,2.0,1.0,1.0,200.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.828774095
